Datetime,MW,type
2018-07-27 01:00:00,32798.0,actual
2018-07-27 02:00:00,30772.0,actual
2018-07-27 03:00:00,29279.0,actual
2018-07-27 04:00:00,28422.0,actual
2018-07-27 05:00:00,28437.0,actual
2018-07-27 06:00:00,29535.0,actual
2018-07-27 07:00:00,31386.0,actual
2018-07-27 08:00:00,33962.0,actual
2018-07-27 09:00:00,36528.0,actual
2018-07-27 10:00:00,39094.0,actual
2018-07-27 11:00:00,41832.0,actual
2018-07-27 12:00:00,43895.0,actual
2018-07-27 13:00:00,45475.0,actual
2018-07-27 14:00:00,46850.0,actual
2018-07-27 15:00:00,47401.0,actual
2018-07-27 16:00:00,46988.0,actual
2018-07-27 17:00:00,46864.0,actual
2018-07-27 18:00:00,45572.0,actual
2018-07-27 19:00:00,42950.0,actual
2018-07-27 20:00:00,40883.0,actual
2018-07-27 21:00:00,39275.0,actual
2018-07-27 22:00:00,37618.0,actual
2018-07-27 23:00:00,35038.0,actual
2018-07-28 00:00:00,32468.0,actual
2018-07-28 01:00:00,30085.0,actual
2018-07-28 02:00:00,28324.0,actual
2018-07-28 03:00:00,27069.0,actual
2018-07-28 04:00:00,26276.0,actual
2018-07-28 05:00:00,25964.0,actual
2018-07-28 06:00:00,26178.0,actual
2018-07-28 07:00:00,26570.0,actual
2018-07-28 08:00:00,28155.0,actual
2018-07-28 09:00:00,30618.0,actual
2018-07-28 10:00:00,32944.0,actual
2018-07-28 11:00:00,34997.0,actual
2018-07-28 12:00:00,37024.0,actual
2018-07-28 13:00:00,38708.0,actual
2018-07-28 14:00:00,40057.0,actual
2018-07-28 15:00:00,41303.0,actual
2018-07-28 16:00:00,42088.0,actual
2018-07-28 17:00:00,42632.0,actual
2018-07-28 18:00:00,42835.0,actual
2018-07-28 19:00:00,42174.0,actual
2018-07-28 20:00:00,40498.0,actual
2018-07-28 21:00:00,38869.0,actual
2018-07-28 22:00:00,37375.0,actual
2018-07-28 23:00:00,34687.0,actual
2018-07-29 00:00:00,31940.0,actual
2018-07-29 01:00:00,29376.0,actual
2018-07-29 02:00:00,27473.0,actual
2018-07-29 03:00:00,26103.0,actual
2018-07-29 04:00:00,25090.0,actual
2018-07-29 05:00:00,24494.0,actual
2018-07-29 06:00:00,24255.0,actual
2018-07-29 07:00:00,24161.0,actual
2018-07-29 08:00:00,25175.0,actual
2018-07-29 09:00:00,27022.0,actual
2018-07-29 10:00:00,29021.0,actual
2018-07-29 11:00:00,30917.0,actual
2018-07-29 12:00:00,32581.0,actual
2018-07-29 13:00:00,34226.0,actual
2018-07-29 14:00:00,35770.0,actual
2018-07-29 15:00:00,37250.0,actual
2018-07-29 16:00:00,38637.0,actual
2018-07-29 17:00:00,39906.0,actual
2018-07-29 18:00:00,40709.0,actual
2018-07-29 19:00:00,40517.0,actual
2018-07-29 20:00:00,39089.0,actual
2018-07-29 21:00:00,37870.0,actual
2018-07-29 22:00:00,36581.0,actual
2018-07-29 23:00:00,33747.0,actual
2018-07-30 00:00:00,30789.0,actual
2018-07-30 01:00:00,28389.0,actual
2018-07-30 02:00:00,26779.0,actual
2018-07-30 03:00:00,25675.0,actual
2018-07-30 04:00:00,25200.0,actual
2018-07-30 05:00:00,25479.0,actual
2018-07-30 06:00:00,26824.0,actual
2018-07-30 07:00:00,28676.0,actual
2018-07-30 08:00:00,31050.0,actual
2018-07-30 09:00:00,33081.0,actual
2018-07-30 10:00:00,34779.0,actual
2018-07-30 11:00:00,36060.0,actual
2018-07-30 12:00:00,36747.0,actual
2018-07-30 13:00:00,37228.0,actual
2018-07-30 14:00:00,37671.0,actual
2018-07-30 15:00:00,37624.0,actual
2018-07-30 16:00:00,37615.0,actual
2018-07-30 17:00:00,37600.0,actual
2018-07-30 18:00:00,37564.0,actual
2018-07-30 19:00:00,36901.0,actual
2018-07-30 20:00:00,36166.0,actual
2018-07-30 21:00:00,35899.0,actual
2018-07-30 22:00:00,34879.0,actual
2018-07-30 23:00:00,32303.0,actual
2018-07-31 00:00:00,29701.0,actual
2018-07-31 01:00:00,27576.0,actual
2018-07-31 02:00:00,26192.0,actual
